Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield,N,P,K,temperature,humidity,ph,Rainfall_Required
pigeonpeas,2000,Kharif,Andhra Pradesh,507366.0,216457,935.6,49808120.22,131915.16,0.433181818,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
pigeonpeas,2000,Rabi,Andhra Pradesh,6098.0,2701,935.6,598640.66,1585.48,0.42375,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
mothbeans,2000,Kharif,Andhra Pradesh,129475.0,135964,935.6,12710560.75,33663.5,1.001666667,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
mothbeans,2000,Rabi,Andhra Pradesh,14229.0,12524,935.6,1396860.93,3699.54,0.883125,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
banana,2000,Whole Year,Andhra Pradesh,49051.0,819660,935.6,4815336.67,12753.26,17.63090909,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001
coconut,2000,Whole Year,Andhra Pradesh,102646.0,1092707179,935.6,10076757.82,26687.96,9101.813684,21.98,16.93,30.59,27.4098921723,94.84427180610001,5.97656212619,175.686645804
cotton,2000,Kharif,Andhra Pradesh,1021721.0,1662683,935.6,100302350.6,265647.46,1.687727273,117.77,46.24,19.56,23.988957895200002,79.8434742538,6.91267549578,80.3980431193
maize,2000,Kharif,Andhra Pradesh,430544.0,1107165,935.6,42266504.48,111941.44,2.564545455,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
maize,2000,Rabi,Andhra Pradesh,97123.0,473602,935.6,9534564.91,25251.98,5.019545455,77.76,48.44,19.79,22.3892039102,65.0922494467,6.2451897224,84.766987663
mungbean,2000,Kharif,Andhra Pradesh,392017.0,141194,935.6,38484308.89,101924.42,0.404090909,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
mungbean,2000,Rabi,Andhra Pradesh,128365.0,43016,935.6,12601592.05,33374.9,0.371578947,20.99,47.28,19.87,28.5257747353,85.49997454300001,6.72395694037,48.403600902899996
rice,2000,Kharif,Andhra Pradesh,3003673.0,8233806,935.6,294870578.4,780954.98,2.7,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
rice,2000,Rabi,Andhra Pradesh,1239053.0,4224208,935.6,121637833.0,322153.78,2.939090909,79.89,47.58,39.87,23.6893322105,82.2728215389,6.425470922140001,236.181113594
blackgram,2000,Kharif,Andhra Pradesh,99423.0,28296,935.6,9760355.91,25849.98,0.1615,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
blackgram,2000,Rabi,Andhra Pradesh,455864.0,362283,935.6,44752168.88,118524.64,0.655454545,40.02,67.47,19.24,29.9733396789,65.1184255887,7.13395162948,67.8841511832
pigeonpeas,2001,Kharif,Andhra Pradesh,414401.0,185620,928.4,42322774.13,107744.26,0.465,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
pigeonpeas,2001,Rabi,Andhra Pradesh,5439.0,2706,928.4,555485.07,1414.14,0.46,20.73,67.73,20.29,27.7417622259,48.0616330847,5.794174879790001,149.4575638135
mothbeans,2001,Kharif,Andhra Pradesh,81851.0,63589,928.4,8359442.63,21281.26,0.851764706,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
mothbeans,2001,Rabi,Andhra Pradesh,9684.0,7442,928.4,989026.92,2517.84,0.795,21.44,48.01,20.23,28.1949204842,53.16041802790001,6.83117408269,51.198487045700006
banana,2001,Whole Year,Andhra Pradesh,50507.0,761365,928.4,5158279.91,13131.82,11.73363636,100.23,82.01,50.05,27.3767983057,80.35812258109999,5.98389318024,104.6269804001
